# M,mandate
0.000000000000000000e+00,1.589470988039880481e-18
1.500750375187593841e-02,1.701756422046586392e-01
3.001500750375187682e-02,3.385219246298330487e-01
4.502251125562781869e-02,5.050122263491537700e-01
6.003001500750375363e-02,6.696209384300551015e-01
7.503751875937969551e-02,8.323235041538518120e-01
9.004502251125563739e-02,9.930964211434899491e-01
1.050525262631315654e-01,1.151917276072727869e+00
1.200600300150075073e-01,1.308764761418987899e+00
1.350675337668834353e-01,1.463618675109832346e+00
1.500750375187593910e-01,1.616459947134833985e+00
1.650825412706353190e-01,1.767270667752913971e+00
1.800900450225112748e-01,1.916034102268329598e+00
1.950975487743871750e-01,2.062734667301944214e+00
2.101050525262631308e-01,2.207357952392312583e+00
2.251125562781390588e-01,2.349890751031501246e+00
2.401200600300150145e-01,2.490321035316657827e+00
2.551275637818909980e-01,2.628637983102427800e+00
2.701350675337668705e-01,2.764831977441122746e+00
2.851425712856428540e-01,2.898894591541282040e+00
3.001500750375187820e-01,3.030818613212765467e+00
3.151575787893947100e-01,3.160598028662655157e+00
3.301650825412706380e-01,3.288228013922356752e+00
3.451725862931465660e-01,3.413704952276691795e+00
3.601800900450225495e-01,3.537026402359134458e+00
3.751875937968984775e-01,3.658191106990066555e+00
3.901950975487743500e-01,3.777198987569164945e+00
4.052026013006503335e-01,3.894051124287166488e+00
4.202101050525262615e-01,4.008749741706179925e+00
4.352176088044022451e-01,4.121298196956301396e+00
4.502251125562781175e-01,4.231700968204730628e+00
4.652326163081540455e-01,4.339963656755850607e+00
4.802401200600300291e-01,4.446092944180363382e+00
4.952476238119059571e-01,4.550096581592560696e+00
5.102551275637819961e-01,4.651983379732754997e+00
5.252626313156578686e-01,4.751763180670178777e+00
5.402701350675337411e-01,4.849446836629035751e+00
5.552776388194097246e-01,4.945046191015554982e+00
5.702851425712857081e-01,5.038574054088207355e+00
5.852926463231615806e-01,5.130044177065405719e+00
6.003001500750375641e-01,5.219471228960281373e+00
6.153076538269134366e-01,5.306870772378088574e+00
6.303151575787894201e-01,5.392259233349169456e+00
6.453226613306654036e-01,5.475653875270362292e+00
6.603301650825412761e-01,5.557072774224119271e+00
6.753376688344172596e-01,5.636534786510913442e+00
6.903451725862931321e-01,5.714059519836106382e+00
7.053526763381691156e-01,5.789667308518851030e+00
7.203601800900450991e-01,5.863379179208242142e+00
7.353676838419209716e-01,5.935216818694574847e+00
7.503751875937969551e-01,6.005202543203091103e+00
7.653826913456728276e-01,6.073359277499005948e+00
7.803901950975487001e-01,6.139710517202428441e+00
7.953976988494247946e-01,6.204280292694692278e+00
8.104052026013006671e-01,6.267093139323592688e+00
8.254127063531765396e-01,6.328174074394321558e+00
8.404202101050525231e-01,6.387548562065970437e+00
8.554277138569283956e-01,6.445242475410607241e+00
8.704352176088044901e-01,6.501282066989750419e+00
8.854427213606803626e-01,6.555693945006241030e+00
9.004502251125562351e-01,6.608505041585384987e+00
9.154577288644322186e-01,6.659742573369929808e+00
9.304652326163080911e-01,6.709434013640417582e+00
9.454727363681841856e-01,6.757607067678655710e+00
9.604802401200600581e-01,6.804289645248255525e+00
9.754877438719359306e-01,6.849509821058213710e+00
9.904952476238119141e-01,6.893295808846330530e+00
1.005502751375687787e+00,6.935675936802566000e+00
1.020510255127563992e+00,6.976678624025816511e+00
1.035517758879439754e+00,7.016332342486903073e+00
1.050525262631315737e+00,7.054665593250361688e+00
1.065532766383191721e+00,7.091706882815508983e+00
1.080540270135067482e+00,7.127484702986230936e+00
1.095547773886943688e+00,7.162027496004037097e+00
1.110555277638819449e+00,7.195363632924347996e+00
1.125562781390695433e+00,7.227521391696225983e+00
1.140570285142571416e+00,7.258528939915853684e+00
1.155577788894447178e+00,7.288414304300900426e+00
1.170585292646323161e+00,7.317205351338834873e+00
1.185592796398199145e+00,7.344929767489381867e+00
1.200600300150075128e+00,7.371615043893175567e+00
1.215607803901951112e+00,7.397288453000419040e+00
1.230615307653826873e+00,7.421977031434876082e+00
1.245622811405702857e+00,7.445707562162969140e+00
1.260630315157578840e+00,7.468506558123594097e+00
1.275637818909454824e+00,7.490400246473395640e+00
1.290645322661330807e+00,7.511414554533137888e+00
1.305652826413206569e+00,7.531575097068983204e+00
1.320660330165082552e+00,7.550907160899896553e+00
1.335667833916958536e+00,7.569435693299208623e+00
1.350675337668834519e+00,7.587185290212842936e+00
1.365682841420710503e+00,7.604180185652963608e+00
1.380690345172586264e+00,7.620444241666848306e+00
1.395697848924462248e+00,7.636000939116791564e+00
1.410705352676338231e+00,7.650873369254890477e+00
1.425712856428214215e+00,7.665084226087397923e+00
1.440720360180090198e+00,7.678655799378361735e+00
1.455727863931965960e+00,7.691609968285099797e+00
1.470735367683841943e+00,7.703968196309431526e+00
1.485742871435717927e+00,7.715751526461648524e+00
1.500750375187593910e+00,7.726980576290385372e+00
1.515757878939469894e+00,7.737675535341391964e+00
1.530765382691345655e+00,7.747856162522911205e+00
1.545772886443221639e+00,7.757541783171217453e+00
1.560780390195097400e+00,7.766751287678055782e+00
1.575787893946973606e+00,7.775503131354576603e+00
1.590795397698849589e+00,7.783815333575049067e+00
1.605802901450725351e+00,7.791705476943890929e+00
1.620810405202601334e+00,7.799190709639550079e+00
1.635817908954477096e+00,7.806287746383382853e+00
1.650825412706353079e+00,7.813012868727365223e+00
1.665832916458229285e+00,7.819381928504157919e+00
1.680840420210105046e+00,7.825410350854690833e+00
1.695847923961981030e+00,7.831113136187226154e+00
1.710855427713856791e+00,7.836504863493033213e+00
1.725862931465732775e+00,7.841599695635404821e+00
1.740870435217608980e+00,7.846411382928976330e+00
1.755877938969484742e+00,7.850953266241163853e+00
1.770885442721360725e+00,7.855238283861957882e+00
1.785892946473236487e+00,7.859278976461873789e+00
1.800900450225112470e+00,7.863087490959908443e+00
1.815907953976988676e+00,7.866675587366176003e+00
1.830915457728864437e+00,7.870054645347279276e+00
1.845922961480740421e+00,7.873235669376335011e+00
1.860930465232616182e+00,7.876229294538643622e+00
1.875937968984492166e+00,7.879045794788779311e+00
1.890945472736368371e+00,7.881695089065862803e+00
1.905952976488244133e+00,7.884186746667006140e+00
1.920960480240120116e+00,7.886529996035489098e+00
1.935967983991995878e+00,7.888733731772603619e+00
1.950975487743871861e+00,7.890806520478042430e+00
1.965982991495748067e+00,7.892756608745476576e+00
1.980990495247623828e+00,7.894591931213965630e+00
1.995997998999499812e+00,7.896320117199515209e+00
2.011005502751375573e+00,7.897948497372496490e+00
2.026013006503251557e+00,7.899484112745602360e+00
2.041020510255127984e+00,7.900933721679311184e+00
2.056028014007003524e+00,7.902303806138304410e+00
2.071035517758879507e+00,7.903600580410063969e+00
2.086043021510755491e+00,7.904829998560286342e+00
2.101050525262631474e+00,7.905997760876790181e+00
2.116058029014507458e+00,7.907109321492859166e+00
2.131065532766383441e+00,7.908169896330313975e+00
2.146073036518259425e+00,7.909184469830861985e+00
2.161080540270134964e+00,7.910157801423370216e+00
2.176088044022010948e+00,7.911094433693135031e+00
2.191095547773887375e+00,7.911998699088906406e+00
2.206103051525762915e+00,7.912874726021856375e+00
2.221110555277638898e+00,7.913726446358447575e+00
2.236118059029514882e+00,7.914557602199442599e+00
2.251125562781390865e+00,7.915371751924682897e+00
2.266133066533266405e+00,7.916172276671790797e+00
2.281140570285142832e+00,7.916962387129623302e+00
2.296148074037018816e+00,7.917745129499913048e+00
2.311155577788894355e+00,7.918523391151649271e+00
2.326163081540770339e+00,7.919299907160114671e+00
2.341170585292646322e+00,7.920077266003923810e+00
2.356178089044522306e+00,7.920857914882827977e+00
2.371185592796398289e+00,7.921644165536385174e+00
2.386193096548274273e+00,7.922438199744059162e+00
2.401200600300150256e+00,7.923242074402994994e+00
2.416208104052025796e+00,7.924057726598720208e+00
2.431215607803902223e+00,7.924886978828499906e+00
2.446223111555778207e+00,7.925731543754196196e+00
2.461230615307653746e+00,7.926593028774645333e+00
2.476238119059529730e+00,7.927472940772426924e+00
2.491245622811405713e+00,7.928372690521568344e+00
2.506253126563281697e+00,7.929293596920435228e+00
2.521260630315157680e+00,7.930236891189584192e+00
2.536268134067033664e+00,7.931203720915188882e+00
2.551275637818909647e+00,7.932195153971668411e+00
2.566283141570785187e+00,7.933212182113772215e+00
2.581290645322661614e+00,7.934255724935388443e+00
2.596298149074537598e+00,8.014618604328759943e+00
2.611305652826413137e+00,8.016570096517769528e+00
2.626313156578289121e+00,8.018549279747196223e+00
2.641320660330165104e+00,8.020555867863109256e+00
2.656328164082041088e+00,8.022589577842087039e+00
2.671335667833917071e+00,8.024650129853709402e+00
2.686343171585793055e+00,8.026737247298306954e+00
2.701350675337669038e+00,8.028850656851224343e+00
2.716358179089544578e+00,8.030990088504745827e+00
2.731365682841421005e+00,8.033155275591665756e+00
2.746373186593296989e+00,8.035345954805661606e+00
2.761380690345172528e+00,8.037561866217634687e+00
2.776388194097048512e+00,8.039802753282829784e+00
2.791395697848924495e+00,8.042068362859957631e+00
2.806403201600800479e+00,8.044358445206936992e+00
2.821410705352676462e+00,8.046672753972169190e+00
2.836418209104552446e+00,8.049011046201549391e+00
2.851425712856428429e+00,8.051373082316839458e+00
2.866433216608303969e+00,8.053758626109962293e+00
2.881440720360180396e+00,8.056167444723975279e+00
2.896448224112056380e+00,8.058599308631121616e+00
2.911455727863931919e+00,8.061053991613004399e+00
2.926463231615807903e+00,8.063531270734120682e+00
2.941470735367683886e+00,8.066030926317335314e+00
2.956478239119559870e+00,8.068552741911059201e+00
2.971485742871435853e+00,8.071096504260681925e+00
2.986493246623311837e+00,8.073662003275545729e+00
3.001500750375187820e+00,8.076249031988904648e+00
3.016508254127063360e+00,8.078857386531375084e+00
3.031515757878939787e+00,8.081486866088321008e+00
3.046523261630815327e+00,8.084137272855512535e+00
3.061530765382691310e+00,8.086808412015578540e+00
3.076538269134567738e+00,8.089500091683589744e+00
3.091545772886443277e+00,8.092212122871462299e+00
3.106553276638319261e+00,8.094944319441475855e+00
3.121560780390194800e+00,8.097696498070371618e+00
3.136568284142071228e+00,8.100468478206938272e+00
3.151575787893947211e+00,8.103260082023393096e+00
3.166583291645822751e+00,8.106071134383263654e+00
3.181590795397699178e+00,8.108901462785857106e+00
3.196598299149574718e+00,8.111750897326791332e+00
3.211605802901450701e+00,8.114619270658106842e+00
3.226613306653326241e+00,8.117506417936096952e+00
3.241620810405202668e+00,8.120412176787576541e+00
3.256628314157078652e+00,8.123336387269882053e+00
3.271635817908954191e+00,8.126278891821245409e+00
3.286643321660830619e+00,8.129239535222213320e+00
3.301650825412706158e+00,8.132218164545307104e+00
3.316658329164582142e+00,8.135214629125535168e+00
3.331665832916458569e+00,8.138228780506162607e+00
3.346673336668334109e+00,8.141260472412264804e+00
3.361680840420210092e+00,8.144309560702296835e+00
3.376688344172085632e+00,8.147375903334351577e+00
3.391695847923962059e+00,8.150459360316352431e+00
3.406703351675838043e+00,8.153559793674441281e+00
3.421710855427713582e+00,8.156677067406635118e+00
3.436718359179590010e+00,8.159811047462621758e+00
3.451725862931465549e+00,8.162961601693407232e+00
3.466733366683341533e+00,8.166128599820808631e+00
3.481740870435217960e+00,8.169311913398180636e+00
3.496748374187093500e+00,8.172511415772856225e+00
3.511755877938969483e+00,8.175726982058380443e+00
3.526763381690845023e+00,8.178958489104218188e+00
3.541770885442721450e+00,8.182205815452183728e+00
3.556778389194597434e+00,8.185468841305105769e+00
3.571785892946472973e+00,8.188747448493909786e+00
3.586793396698349401e+00,8.192041520457554071e+00
3.601800900450224940e+00,8.195350942204045808e+00
3.616808404202100924e+00,8.198675600280752818e+00
3.631815907953977351e+00,8.202015382738570892e+00
3.646823411705852891e+00,8.205370179121008078e+00
3.661830915457728874e+00,8.208739880424129609e+00
3.676838419209604414e+00,8.212124379060584900e+00
3.691845922961480841e+00,8.215523568846801794e+00
3.706853426713356825e+00,8.218937344972184533e+00
3.721860930465232364e+00,8.222365603971368841e+00
3.736868434217108792e+00,8.225808243708019774e+00
3.751875937968984331e+00,8.229265163336982880e+00
3.766883441720860315e+00,8.232736263286296818e+00
3.781890945472736743e+00,8.236221445231759475e+00
3.796898449224612282e+00,8.239720612072041206e+00
3.811905952976488265e+00,8.243233667914589446e+00
3.826913456728363805e+00,8.246760518045032740e+00
3.841920960480240232e+00,8.250301068912758495e+00
3.856928464232116216e+00,8.253855228105441810e+00
3.871935967983991755e+00,8.257422904325029123e+00
3.886943471735868183e+00,8.261004007368129010e+00
3.901950975487743722e+00,8.264598448111323492e+00
3.916958479239619706e+00,8.268206138488846335e+00
3.931965982991496134e+00,8.271826991474345192e+00
3.946973486743371673e+00,8.275460921065592501e+00
3.961980990495247656e+00,8.279107842266963502e+00
3.976988494247123196e+00,8.282767671063499648e+00
3.991995997998999623e+00,8.286440324412202685e+00
4.007003501750875607e+00,8.290125720222590644e+00
4.022011005502751146e+00,8.293823777344565329e+00
4.037018509254627574e+00,8.297534415541433006e+00
4.052026013006503113e+00,8.301257555480781036e+00
4.067033516758379541e+00,8.304993118721487377e+00
4.082041020510255969e+00,8.308741027701803006e+00
4.097048524262131508e+00,8.312501205707343743e+00
4.112056028014007047e+00,8.316273576872575291e+00
4.127063531765882587e+00,8.320058066165083588e+00
4.142071035517759015e+00,8.323854599368530671e+00
4.157078539269635442e+00,8.327663103077531659e+00
4.172086043021510982e+00,8.331483504673180107e+00
4.187093546773387409e+00,8.335315732317479132e+00
4.202101050525262949e+00,8.339159714932781853e+00
4.217108554277138488e+00,8.343015382201400598e+00
4.232116058029014916e+00,8.346882664548815001e+00
4.247123561780890455e+00,8.350761493120723244e+00
4.262131065532766883e+00,8.354651799785152377e+00
4.277138569284642422e+00,8.358553517120782317e+00
4.292146073036518850e+00,8.362466578400130857e+00
4.307153576788394389e+00,8.366390917585949438e+00
4.322161080540269928e+00,8.370326469317506124e+00
4.337168584292146356e+00,8.374273168889583729e+00
4.352176088044021895e+00,8.378230952252035735e+00
4.367183591795898323e+00,8.382199756006514235e+00
4.382191095547774751e+00,8.386179517391795457e+00
4.397198599299650290e+00,8.390170174266289749e+00
4.412206103051525830e+00,8.394171665104028790e+00
4.427213606803401369e+00,8.398183928988149916e+00
4.442221110555277797e+00,8.402206905598500697e+00
4.457228614307154224e+00,8.406240535209162701e+00
4.472236118059029764e+00,8.410284758677160966e+00
4.487243621810906191e+00,8.414339517430038384e+00
4.502251125562781731e+00,8.418404753464828971e+00
4.517258629314657270e+00,8.422480409329047291e+00
4.532266133066532809e+00,8.426566428117679308e+00
4.547273636818409237e+00,8.430662753469229997e+00
4.562281140570285665e+00,8.434769329561977003e+00
4.577288644322161204e+00,8.438886101088021618e+00
4.592296148074037632e+00,8.443013013263511723e+00
4.607303651825913171e+00,8.447150011811700665e+00
4.622311155577788711e+00,8.451297042967409467e+00
4.637318659329665138e+00,8.455454053462069908e+00
4.652326163081540678e+00,8.459620990512709326e+00
4.667333666833417105e+00,8.463797801826078882e+00
4.682341170585292645e+00,8.467984435588844505e+00
4.697348674337169072e+00,8.472180840452725903e+00
4.712356178089044612e+00,8.476386965539960627e+00
4.727363681840920151e+00,8.480602760428856968e+00
4.742371185592796579e+00,8.484828175153760199e+00
4.757378689344672118e+00,8.489063160188553780e+00
4.772386193096548546e+00,8.493307666451624272e+00
4.787393696848424973e+00,8.497561645292964982e+00
4.802401200600300513e+00,8.501825048498558246e+00
4.817408704352176052e+00,8.506097828272732642e+00
4.832416208104051591e+00,8.510379937245689419e+00
4.847423711855928019e+00,8.514671328459579414e+00
4.862431215607804447e+00,8.518971955354851744e+00
4.877438719359679986e+00,8.523281771781629601e+00
4.892446223111556414e+00,8.527600731990503391e+00
4.907453726863431953e+00,8.531928790619659253e+00
4.922461230615307493e+00,8.536265902697479646e+00
4.937468734367183920e+00,8.540612023632592198e+00
4.952476238119059460e+00,8.544967109212985079e+00
4.967483741870935887e+00,8.549331115602702980e+00
4.982491245622811427e+00,8.553703999333478691e+00
4.997498749374687854e+00,8.558085717307999829e+00
5.012506253126563394e+00,8.562476226779606847e+00
5.027513756878438933e+00,8.566875485363869558e+00
5.042521260630315361e+00,8.571283451017198018e+00
5.057528764382190900e+00,8.575700082055275786e+00
5.072536268134067328e+00,8.580125337128047036e+00
5.087543771885943755e+00,8.584559175226159411e+00
5.102551275637819295e+00,8.589001555675499944e+00
5.117558779389694834e+00,8.593452438136147009e+00
5.132566283141570374e+00,8.597911782600533570e+00
5.147573786893446801e+00,8.602379549372596301e+00
5.162581290645323229e+00,8.606855699080304234e+00
5.177588794397198768e+00,8.611340192664743043e+00
5.192596298149075196e+00,8.615832991379594574e+00
5.207603801900950735e+00,8.620334056788893307e+00
5.222611305652826275e+00,8.624843350759784144e+00
5.237618809404702702e+00,8.629360835466973967e+00
5.252626313156578242e+00,8.633886473374980497e+00
5.267633816908454669e+00,8.638420227241878635e+00
5.282641320660330209e+00,8.642962060117955758e+00
5.297648824412206636e+00,8.647511935352328649e+00
5.312656328164082176e+00,8.652069816574647021e+00
5.327663831915957715e+00,8.656635667689522862e+00
5.342671335667834143e+00,8.661209452882701498e+00
5.357678839419709682e+00,8.665791136614750201e+00
5.372686343171586110e+00,8.670380683614059336e+00
5.387693846923462537e+00,8.674978058884590837e+00
5.402701350675338077e+00,8.679583227699035675e+00
5.417708854427213616e+00,8.684196155588768562e+00
5.432716358179089156e+00,8.688816808346709664e+00
5.447723861930965583e+00,8.693445152023558720e+00
5.462731365682842011e+00,8.698081152921320225e+00
5.477738869434717550e+00,8.702724777600243655e+00
5.492746373186593978e+00,8.707375992870082015e+00
5.507753876938469517e+00,8.712034765781577761e+00
5.522761380690345057e+00,8.716701063636293156e+00
5.537768884442221484e+00,8.721374853980105257e+00
5.552776388194097024e+00,8.726056104577230244e+00
5.567783891945973451e+00,8.730744783436461987e+00
5.582791395697848991e+00,8.735440858807917763e+00
5.597798899449725418e+00,8.740144299172943221e+00
5.612806403201600958e+00,8.744855073236688980e+00
5.627813906953476497e+00,8.749573149933299376e+00
5.642821410705352925e+00,8.754298498419846197e+00
5.657828914457228464e+00,8.759031088085588834e+00
5.672836418209104892e+00,8.763770888534581971e+00
5.687843921960981319e+00,8.768517869580749746e+00
5.702851425712856859e+00,8.773272001259275754e+00
5.717858929464732398e+00,8.778033253814889747e+00
5.732866433216607938e+00,8.782801597702150076e+00
5.747873936968484365e+00,8.787577003582036639e+00
5.762881440720360793e+00,8.792359442329910735e+00
5.777888944472236332e+00,8.797148885028249765e+00
5.792896448224112760e+00,8.801945302957426165e+00
5.807903951975988299e+00,8.806748667595819313e+00
5.822911455727863839e+00,8.811558950615710373e+00
5.837918959479739378e+00,8.816376123892123218e+00
5.852926463231615806e+00,8.821200159490066639e+00
5.867933966983492233e+00,8.826031029667552374e+00
5.882941470735367773e+00,8.830868706879707375e+00
5.897948974487244200e+00,8.835713163778033064e+00
5.912956478239119740e+00,8.840564373184225389e+00
5.927963981990995279e+00,8.845422308100211239e+00
5.942971485742871707e+00,8.850286941730987067e+00
