# M,optimal
0.000000000000000000e+00,1.667735709012845716e-35
1.000500250125062503e-02,1.409669077127140117e-02
2.001000500250125005e-02,2.801070253404031735e-02
3.001500750375187682e-02,4.173962791338566014e-02
4.002001000500250011e-02,5.528116126276103742e-02
5.002501250625312340e-02,6.863310064815561495e-02
6.003001500750375363e-02,8.179334969941072508e-02
7.003501750875437692e-02,9.475991932586064204e-02
8.004002001000500022e-02,1.075309292937381561e-01
9.004502251125562351e-02,1.201046096630643267e-01
1.000500250125062468e-01,1.324793020820243528e-01
1.100550275137568701e-01,1.446534609371187552e-01
1.200600300150075073e-01,1.566256543576693416e-01
1.300650325162581167e-01,1.683945650735519661e-01
1.400700350175087538e-01,1.799589911253226260e-01
1.500750375187593633e-01,1.913178464261980072e-01
1.600800400200100004e-01,2.024701611756480057e-01
1.700850425212606376e-01,2.134150821246504626e-01
1.800900450225112470e-01,2.241518726929529470e-01
1.900950475237618842e-01,2.346799129389759153e-01
2.001000500250124936e-01,2.449986993832791449e-01
2.101050525262631308e-01,2.551078446867973692e-01
2.201100550275137402e-01,2.650070771853296758e-01
2.301150575287643774e-01,2.746962402820412597e-01
2.401200600300150145e-01,2.841752917000028855e-01
2.501250625312656517e-01,2.934443025970561725e-01
2.601300650325162334e-01,3.025034565455441138e-01
2.701350675337668705e-01,3.113530483796941861e-01
2.801400700350175077e-01,3.199934829136764636e-01
2.901450725362681449e-01,3.284252735335888018e-01
3.001500750375187265e-01,3.366490406668383728e-01
3.101550775387693637e-01,3.446655101325975523e-01
3.201600800400200009e-01,3.524755113772084503e-01
3.301650825412706380e-01,3.600799755985997219e-01
3.401700850425212752e-01,3.674799337639501062e-01
3.501750875437718569e-01,3.746765145250009477e-01
3.601800900450224940e-01,3.816709420355673954e-01
3.701850925462731312e-01,3.884645336759383061e-01
3.801900950475237684e-01,3.950586976889827739e-01
3.901950975487743500e-01,4.014549307328907912e-01
4.002001000500249872e-01,4.076548153555800691e-01
4.102051025512756244e-01,4.136600173958859261e-01
4.202101050525262615e-01,4.194722833167273124e-01
4.302151075537768987e-01,4.250934374755018230e-01
4.402201100550274804e-01,4.305253793370126814e-01
4.502251125562781175e-01,4.357700806342644229e-01
4.602301150575287547e-01,4.408295824824866038e-01
4.702351175587793919e-01,4.457059924517559613e-01
4.802401200600300291e-01,4.504014816035815105e-01
4.902451225612806107e-01,4.549182814968047994e-01
5.002501250625313034e-01,4.592586811681372838e-01
5.102551275637818851e-01,4.634250240926184317e-01
5.202601300650324667e-01,4.674197051292275362e-01
5.302651325662831594e-01,4.712451674568181592e-01
5.402701350675337411e-01,4.749038995054725154e-01
5.502751375687843227e-01,4.783984318882882891e-01
5.602801400700350154e-01,4.817313343385170588e-01
5.702851425712855971e-01,4.849052126568689780e-01
5.802901450725362897e-01,4.879227056736878398e-01
5.902951475737868714e-01,4.907864822305756380e-01
6.003001500750374531e-01,4.934992381859202859e-01
6.103051525762881457e-01,4.960636934486394867e-01
6.203101550775387274e-01,4.984825890443101426e-01
6.303151575787894201e-01,5.007586842177031983e-01
6.403201600800400017e-01,5.028947535755833309e-01
6.503251625812905834e-01,5.048935842734736390e-01
6.603301650825412761e-01,5.067579732499141176e-01
6.703351675837918577e-01,5.084907245115735108e-01
6.803401700850425504e-01,5.100946464723961071e-01
6.903451725862931321e-01,5.115725493497859100e-01
7.003501750875437137e-01,5.129272426206489266e-01
7.103551775887944064e-01,5.141615325399301328e-01
7.203601800900449881e-01,5.152782197240930451e-01
7.303651825912956808e-01,5.162800968018071979e-01
7.403701850925462624e-01,5.171699461339162029e-01
7.503751875937968441e-01,5.179505376045744347e-01
7.603801900950475368e-01,5.186246264852509835e-01
7.703851925962981184e-01,5.191949513731148880e-01
7.803901950975487001e-01,5.196642322051273633e-01
7.903951975987993928e-01,5.200351683489872201e-01
8.004002001000499744e-01,5.203104367718911494e-01
8.104052026013006671e-01,5.204926902878944661e-01
8.204102051025512488e-01,5.205845558844808263e-01
8.304152076038018304e-01,5.205886331287797875e-01
8.404202101050525231e-01,5.205074926537003321e-01
8.504252126063031048e-01,5.203436747240878235e-01
8.604302151075537974e-01,5.200996878828489933e-01
8.704352176088043791e-01,5.197780076768392377e-01
