# x, F, dF, ddF, Fline, m, f, df, ddf, fline
0.0000,0.0000,30.5542,-62.5000,7.0000,0.0000,0.0000,24.4433,-40.0000,7.0000
0.0050,0.1520,30.2297,-67.2001,6.9900,0.0063,0.1520,24.1838,-43.0081,6.9900
0.0100,0.3024,29.8821,-71.7354,6.9800,0.0125,0.3024,23.9057,-45.9106,6.9800
0.0150,0.4510,29.5123,-76.0885,6.9700,0.0188,0.4510,23.6098,-48.6967,6.9700
0.0200,0.5976,29.1212,-80.2433,6.9600,0.0250,0.5976,23.2969,-51.3557,6.9600
0.0250,0.7423,28.7098,-84.1846,6.9500,0.0313,0.7423,22.9679,-53.8781,6.9500
0.0300,0.8849,28.2793,-87.8985,6.9400,0.0375,0.8849,22.6234,-56.2550,6.9400
0.0350,1.0252,27.8308,-91.3726,6.9300,0.0438,1.0252,22.2646,-58.4785,6.9300
0.0400,1.1633,27.3655,-94.5957,6.9200,0.0500,1.1633,21.8924,-60.5413,6.9200
0.0450,1.2990,26.8848,-97.5584,6.9100,0.0563,1.2990,21.5078,-62.4374,6.9100
0.0500,1.4322,26.3899,-100.2524,6.8999,0.0625,1.4322,21.1119,-64.1616,6.8999
0.0550,1.5630,25.8822,-102.6714,6.8899,0.0688,1.5630,20.7058,-65.7097,6.8899
0.0600,1.6912,25.3631,-104.8105,6.8799,0.0750,1.6912,20.2905,-67.0787,6.8799
0.0650,1.8167,24.8341,-106.6662,6.8699,0.0813,1.8167,19.8673,-68.2664,6.8699
0.0700,1.9396,24.2964,-108.2370,6.8599,0.0875,1.9396,19.4371,-69.2717,6.8599
0.0750,2.0598,23.7516,-109.5228,6.8499,0.0938,2.0598,19.0013,-70.0946,6.8499
0.0800,2.1772,23.2011,-110.5248,6.8399,0.1001,2.1772,18.5609,-70.7359,6.8399
0.0850,2.2919,22.6463,-111.2462,6.8299,0.1063,2.2919,18.1170,-71.1976,6.8299
0.0900,2.4038,22.0886,-111.6912,6.8199,0.1126,2.4038,17.6709,-71.4824,6.8199
0.0950,2.5129,21.5293,-111.8655,6.8099,0.1188,2.5129,17.2234,-71.5939,6.8099
0.1001,2.6192,20.9698,-111.7763,6.7999,0.1251,2.6192,16.7758,-71.5369,6.7999
0.1051,2.7227,20.4114,-111.4318,6.7899,0.1313,2.7227,16.3291,-71.3164,6.7899
0.1101,2.8234,19.8553,-110.8414,6.7799,0.1376,2.8234,15.8843,-70.9385,6.7799
0.1151,2.9214,19.3028,-110.0154,6.7699,0.1438,2.9214,15.4422,-70.4098,6.7699
0.1201,3.0166,18.7550,-108.9651,6.7599,0.1501,3.0166,15.0040,-69.7377,6.7599
0.1251,3.1090,18.2130,-107.7028,6.7499,0.1563,3.1090,14.5704,-68.9298,6.7499
0.1301,3.1988,17.6778,-106.2412,6.7399,0.1626,3.1988,14.1422,-67.9944,6.7399
0.1351,3.2859,17.1503,-104.5937,6.7299,0.1688,3.2859,13.7203,-66.9400,6.7299
0.1401,3.3704,16.6316,-102.7741,6.7199,0.1751,3.3704,13.3053,-65.7754,6.7199
0.1451,3.4523,16.1223,-100.7967,6.7099,0.1813,3.4523,12.8979,-64.5099,6.7099
0.1501,3.5317,15.6234,-98.6759,6.6998,0.1876,3.5317,12.4987,-63.1526,6.6998
0.1551,3.6087,15.1353,-96.4262,6.6898,0.1938,3.6087,12.1082,-61.7128,6.6898
0.1601,3.6832,14.6588,-94.0622,6.6798,0.2001,3.6832,11.7270,-60.1998,6.6798
0.1651,3.7553,14.1944,-91.5985,6.6698,0.2064,3.7553,11.3555,-58.6231,6.6698
0.1701,3.8252,13.7425,-89.0494,6.6598,0.2126,3.8252,10.9940,-56.9916,6.6598
0.1751,3.8928,13.3036,-86.4289,6.6498,0.2189,3.8928,10.6428,-55.3145,6.6498
0.1801,3.9583,12.8779,-83.7507,6.6398,0.2251,3.9583,10.3023,-53.6005,6.6398
0.1851,4.0217,12.4657,-81.0282,6.6298,0.2314,4.0217,9.9726,-51.8580,6.6298
0.1901,4.0831,12.0672,-78.2741,6.6198,0.2376,4.0831,9.6538,-50.0954,6.6198
0.1951,4.1425,11.6826,-75.5007,6.6098,0.2439,4.1425,9.3461,-48.3205,6.6098
0.2001,4.2000,11.3119,-72.7197,6.5998,0.2501,4.2000,9.0495,-46.5406,6.5998
0.2051,4.2557,10.9550,-69.9420,6.5898,0.2564,4.2557,8.7640,-44.7629,6.5898
0.2101,4.3096,10.6121,-67.1779,6.5798,0.2626,4.3096,8.4897,-42.9938,6.5798
0.2151,4.3619,10.2829,-64.4370,6.5698,0.2689,4.3619,8.2263,-41.2397,6.5698
0.2201,4.4125,9.9673,-61.7283,6.5598,0.2751,4.4125,7.9739,-39.5061,6.5598
0.2251,4.4616,9.6652,-59.0598,6.5498,0.2814,4.4616,7.7322,-37.7983,6.5498
0.2301,4.5092,9.3764,-56.4390,6.5398,0.2876,4.5092,7.5011,-36.1209,6.5398
0.2351,4.5554,9.1005,-53.8723,6.5298,0.2939,4.5554,7.2804,-34.4783,6.5298
0.2401,4.6003,8.8369,-51.9025,6.5198,0.3002,4.6003,7.0695,-33.2176,6.5198
0.2451,4.6439,8.5788,-51.2645,6.5098,0.3064,4.6439,6.8631,-32.8093,6.5098
0.2501,4.6861,8.3240,-50.6089,6.4997,0.3127,4.6861,6.6592,-32.3897,6.4997
