# M,mandate
0.000000000000000000e+00,1.589470988039880481e-18
1.000500250125062503e-02,1.651731409540333484e-01
2.001000500250125005e-02,3.285169221285824670e-01
3.001500750375187682e-02,4.900047225972778975e-01
4.002001000500250011e-02,6.496109334275539382e-01
5.002501250625312340e-02,8.073109979007252468e-01
6.003001500750375363e-02,9.630814136397379821e-01
7.003501750875437692e-02,1.116899767318350500e+00
8.004002001000500022e-02,1.268744751413985572e+00
9.004502251125562351e-02,1.418596163854204617e+00
1.000500250125062468e-01,1.566434934628580855e+00
1.100550275137568701e-01,1.712243153996035439e+00
1.200600300150075073e-01,1.856004087260825663e+00
1.300650325162581167e-01,1.997702151043815100e+00
1.400700350175087538e-01,2.137322934883557846e+00
1.500750375187593633e-01,2.274853232272121772e+00
1.600800400200100004e-01,2.410281015306653174e+00
1.700850425212606376e-01,2.543595461841797523e+00
1.800900450225112470e-01,2.674786954929866845e+00
1.900950475237618842e-01,2.803847067779400959e+00
2.001000500250124936e-01,2.930768588200259206e+00
2.101050525262631308e-01,3.055545502399523716e+00
2.201100550275137402e-01,3.178172986408599243e+00
2.301150575287643774e-01,3.298647423512309551e+00
2.401200600300150145e-01,3.416966372344126590e+00
2.501250625312656517e-01,3.533128575724434395e+00
2.601300650325162334e-01,3.647133955052906717e+00
2.701350675337668705e-01,3.758983590520283080e+00
2.801400700350175077e-01,3.868679706688670450e+00
2.901450725362681449e-01,3.976225660688167185e+00
3.001500750375187265e-01,4.081625930685971682e+00
3.101550775387693637e-01,4.184886117986465592e+00
3.201600800400200009e-01,4.286012904160354076e+00
3.301650825412706380e-01,4.385014040321926210e+00
3.401700850425212752e-01,4.481898337211494443e+00
3.501750875437718569e-01,4.576675636898292154e+00
3.601800900450224940e-01,4.669356791606524837e+00
3.701850925462731312e-01,4.759953644742417112e+00
3.801900950475237684e-01,4.848479006564445193e+00
3.901950975487743500e-01,4.934946628291019266e+00
4.002001000500249872e-01,5.019371178935268851e+00
4.102051025512756244e-01,5.101768221102449985e+00
4.202101050525262615e-01,5.182154180822906575e+00
4.302151075537768987e-01,5.260546321493474231e+00
4.402201100550274804e-01,5.336962719196605143e+00
4.502251125562781175e-01,5.411422230232774133e+00
4.602301150575287547e-01,5.483944462307341894e+00
4.702351175587793919e-01,5.554549749739461362e+00
4.802401200600300291e-01,5.623259119178226406e+00
4.902451225612806107e-01,5.690094257413934820e+00
5.002501250625313034e-01,5.755077480671825896e+00
5.102551275637818851e-01,5.818231713717114673e+00
5.202601300650324667e-01,5.879580452169911986e+00
5.302651325662831594e-01,5.939147726411550643e+00
5.402701350675337411e-01,5.996958071789825873e+00
5.502751375687843227e-01,6.053036505609928675e+00
5.602801400700350154e-01,6.107408492030953262e+00
5.702851425712855971e-01,6.160099904124965775e+00
5.802901450725362897e-01,6.211136994453481996e+00
5.902951475737868714e-01,6.260546371219347428e+00
6.003001500750374531e-01,6.308354966547865317e+00
6.103051525762881457e-01,6.354589997081785846e+00
6.203101550775387274e-01,6.399278936101647552e+00
6.303151575787894201e-01,6.442449488889261389e+00
6.403201600800400017e-01,6.484129565208235135e+00
6.503251625812905834e-01,6.524347239767568141e+00
6.603301650825412761e-01,6.563130726305059781e+00
6.703351675837918577e-01,6.600508353010670959e+00
6.803401700850425504e-01,6.636508538983294514e+00
6.903451725862931321e-01,6.671159756193755896e+00
7.003501750875437137e-01,6.704490505706589332e+00
7.103551775887944064e-01,6.736529294021111447e+00
7.203601800900449881e-01,6.767304612941208219e+00
7.303651825912956808e-01,6.796844904708389201e+00
7.403701850925462624e-01,6.825178540378074921e+00
7.503751875937968441e-01,6.852333797899326839e+00
7.603801900950475368e-01,6.878338844868331137e+00
7.703851925962981184e-01,6.903221708002751811e+00
7.803901950975487001e-01,6.927010253790061967e+00
7.903951975987993928e-01,6.949732168689982892e+00
8.004002001000499744e-01,6.971414943843150525e+00
8.104052026013006671e-01,6.992085851699768817e+00
8.204102051025512488e-01,7.011771928883600680e+00
8.304152076038018304e-01,7.030499958361067669e+00
8.404202101050525231e-01,7.048296453071068335e+00
8.504252126063031048e-01,7.065187640170242034e+00
8.604302151075537974e-01,7.081199446979361767e+00
8.704352176088043791e-01,7.096357488264582791e+00
8.804402201100549608e-01,7.110687050844869184e+00
8.904452226113056534e-01,7.124213081993556962e+00
9.004502251125562351e-01,7.136960177656564319e+00
9.104552276138069278e-01,7.148952571846060700e+00
9.204602301150575094e-01,7.160214126609319329e+00
9.304652326163080911e-01,7.170768322808636519e+00
9.404702351175587838e-01,7.180638251696111141e+00
9.504752376188093654e-01,7.189846607277992518e+00
9.604802401200600581e-01,7.198415679318330263e+00
9.704852426213106398e-01,7.206367346974444033e+00
9.804902451225612214e-01,7.213723073748149694e+00
9.904952476238119141e-01,7.220503902649742400e+00
1.000500250125062607e+00,7.226730451227853180e+00
1.010505252626313188e+00,7.232422909028235480e+00
1.020510255127563770e+00,7.237601034959128654e+00
1.030515257628814352e+00,7.242284154356808834e+00
1.040520260130064933e+00,7.246491157613022871e+00
1.050525262631315737e+00,7.250240500038919400e+00
1.060530265132566319e+00,7.253550201008765796e+00
1.070535267633816900e+00,7.256437843126983367e+00
1.080540270135067482e+00,7.258920574572016449e+00
