# M,mandate
0.000000000000000000e+00,-1.242372374029531736e-34
1.000500250125062503e-02,1.657797279509578559e-01
2.001000500250125005e-02,3.297299866718632622e-01
3.001500750375187682e-02,4.918240466150868295e-01
4.002001000500250011e-02,6.520361893189514646e-01
5.002501250625312340e-02,8.103417495017586347e-01
6.003001500750375363e-02,9.667171165438943614e-01
7.003501750875437692e-02,1.121139768672141379e+00
8.004002001000500022e-02,1.273588291812447260e+00
9.004502251125562351e-02,1.424042379713404527e+00
1.000500250125062468e-01,1.572482855334212282e+00
1.100550275137568701e-01,1.718891701465123045e+00
1.200600300150075073e-01,1.863252074941974978e+00
1.300650325162581167e-01,2.005548301343760276e+00
1.400700350175087538e-01,2.145765861610480219e+00
1.500750375187593633e-01,2.283891447667671493e+00
1.600800400200100004e-01,2.419912937559838273e+00
1.700850425212606376e-01,2.553819406238240663e+00
1.800900450225112470e-01,2.685601142173284384e+00
1.900950475237618842e-01,2.815249625853953219e+00
2.001000500250124936e-01,2.942757547249364336e+00
2.101050525262631308e-01,3.068118805147194372e+00
2.201100550275137402e-01,3.191328485391188075e+00
2.301150575287643774e-01,3.312382878756945814e+00
2.401200600300150145e-01,3.431279466333126749e+00
2.501250625312656517e-01,3.548016901289288594e+00
2.601300650325162334e-01,3.662595020258944345e+00
2.701350675337668705e-01,3.775014825772540661e+00
2.801400700350175077e-01,3.885278466075214432e+00
2.901450725362681449e-01,3.993389226091109911e+00
3.001500750375187265e-01,4.099351508789974119e+00
3.101550775387693637e-01,4.203170838366831141e+00
3.201600800400200009e-01,4.304853832450735496e+00
3.301650825412706380e-01,4.404408176740645331e+00
3.401700850425212752e-01,4.501842613806944726e+00
3.501750875437718569e-01,4.597166926099617079e+00
3.601800900450224940e-01,4.690391907137561489e+00
3.701850925462731312e-01,4.781529342175018016e+00
3.801900950475237684e-01,4.870591987566939451e+00
3.901950975487743500e-01,4.957593543364660960e+00
4.002001000500249872e-01,5.042548628632562924e+00
4.102051025512756244e-01,5.125472758539926232e+00
4.202101050525262615e-01,5.206382315728342647e+00
4.302151075537768987e-01,5.285294521982985216e+00
4.402201100550274804e-01,5.362227412540889304e+00
4.502251125562781175e-01,5.437199808104448806e+00
4.602301150575287547e-01,5.510231282776142159e+00
4.702351175587793919e-01,5.581342136315933899e+00
4.802401200600300291e-01,5.650553367690969608e+00
4.902451225612806107e-01,5.717886638381234121e+00
5.002501250625313034e-01,5.783364242322265980e+00
5.102551275637818851e-01,5.847009076103774738e+00
5.202601300650324667e-01,5.908844617862247794e+00
5.302651325662831594e-01,5.968894882904175248e+00
5.402701350675337411e-01,6.027184393930717476e+00
5.502751375687843227e-01,6.083738150454149007e+00
5.602801400700350154e-01,6.138581607273650320e+00
5.702851425712855971e-01,6.191740632074158590e+00
5.802901450725362897e-01,6.243241474004533664e+00
5.902951475737868714e-01,6.293110733227618603e+00
6.003001500750374531e-01,6.341375339796330834e+00
6.103051525762881457e-01,6.388062514106461975e+00
6.203101550775387274e-01,6.433199734364755784e+00
6.303151575787894201e-01,6.476814707448813380e+00
6.403201600800400017e-01,6.518935347577223816e+00
6.503251625812905834e-01,6.559589741505285510e+00
6.603301650825412761e-01,6.598806115426353536e+00
6.703351675837918577e-01,6.636612807949800796e+00
6.803401700850425504e-01,6.673038248646226300e+00
6.903451725862931321e-01,6.708110928827093034e+00
7.003501750875437137e-01,6.741859368641481609e+00
7.103551775887944064e-01,6.774312092822841969e+00
7.203601800900449881e-01,6.805497609321455421e+00
7.303651825912956808e-01,6.835444385876552786e+00
7.403701850925462624e-01,6.864180818347599633e+00
7.503751875937968441e-01,6.891735209496900438e+00
7.603801900950475368e-01,6.918135748559429921e+00
7.703851925962981184e-01,6.943410492580718518e+00
7.803901950975487001e-01,6.967587337699472805e+00
7.903951975987993928e-01,6.990694000740180769e+00
8.004002001000499744e-01,7.012758000358312316e+00
8.104052026013006671e-01,7.033806641735912635e+00
8.204102051025512488e-01,7.053866994006508406e+00
8.304152076038018304e-01,7.072965874161860178e+00
8.404202101050525231e-01,7.091129830026865477e+00
8.504252126063031048e-01,7.108385124648441078e+00
8.604302151075537974e-01,7.124757721247525488e+00
8.704352176088043791e-01,7.140273269817147828e+00
8.804402201100549608e-01,7.154957095146386337e+00
8.904452226113056534e-01,7.168834182317161741e+00
9.004502251125562351e-01,7.181929165804870507e+00
9.104552276138069278e-01,7.194266318471622235e+00
9.204602301150575094e-01,7.205869541667481393e+00
9.304652326163080911e-01,7.216762355967837550e+00
9.404702351175587838e-01,7.226967892628088919e+00
9.504752376188093654e-01,7.236508885862462215e+00
9.604802401200600581e-01,7.245407665957040777e+00
9.704852426213106398e-01,7.253686153003392256e+00
9.804902451225612214e-01,7.261376003500624954e+00
9.904952476238119141e-01,7.268558218874505705e+00
1.000500250125062607e+00,7.275261100186448004e+00
1.010505252626313188e+00,7.281502325766808781e+00
1.020510255127563770e+00,7.287299212763374001e+00
1.030515257628814352e+00,7.292668714854841916e+00
1.040520260130064933e+00,7.297627419519126413e+00
1.050525262631315737e+00,7.302191545417832330e+00
1.060530265132566319e+00,7.306376942444993361e+00
1.070535267633816900e+00,7.310199090778755959e+00
1.080540270135067482e+00,7.313673099340061157e+00
1.090545272636318064e+00,7.316813706915667126e+00
1.100550275137568645e+00,7.319635283279071203e+00
1.110555277638819449e+00,7.322151829485552987e+00
1.120560280140070031e+00,7.324376978593518217e+00
1.130565282641320612e+00,7.326323999242120522e+00
1.140570285142571194e+00,7.328005797451192294e+00
1.150575287643821776e+00,7.329434917680319295e+00
1.160580290145072579e+00,7.330623547347775215e+00
1.170585292646323161e+00,7.331583520315009039e+00
1.180590295147573743e+00,7.332326319314938168e+00
1.190595297648824324e+00,7.332863079696882558e+00
1.200600300150074906e+00,7.333204595007433824e+00
1.210605302651325710e+00,7.333361320794438143e+00
1.220610305152576291e+00,7.333343377701798005e+00
1.230615307653826873e+00,7.333160558228206227e+00
1.240620310155077455e+00,7.332822331671874139e+00
1.250625312656328036e+00,7.332337848239612654e+00
1.260630315157578840e+00,7.331715944552551711e+00
1.270635317658829422e+00,7.330965149824351990e+00
1.280640320160080003e+00,7.330093691329997441e+00
1.290645322661330585e+00,7.329109500390774912e+00
1.300650325162581167e+00,7.328020218356675386e+00
1.310655327663831970e+00,7.326833201753006009e+00
1.320660330165082552e+00,7.325555529203462868e+00
1.330665332666333134e+00,7.324194005300890709e+00
1.340670335167583715e+00,7.322754208618421856e+00
1.350675337668834297e+00,7.321239093502523332e+00
1.360680340170085101e+00,7.319651177286163879e+00
1.370685342671335682e+00,7.317992942173543014e+00
1.380690345172586264e+00,7.316266831694415274e+00
1.390695347673836846e+00,7.314475252847563169e+00
1.400700350175087427e+00,7.312620576597961275e+00
1.410705352676338231e+00,7.310705136065075216e+00
1.420710355177588813e+00,7.308731227301661804e+00
1.430715357678839394e+00,7.306701108748898221e+00
1.440720360180089976e+00,7.304617001374072771e+00
1.450725362681340558e+00,7.302481088692148958e+00
1.460730365182591362e+00,7.300295517291124803e+00
1.470735367683841943e+00,7.298062396324837664e+00
1.480740370185092525e+00,7.295783797375221980e+00
1.490745372686343106e+00,7.293461754205100789e+00
1.500750375187593688e+00,7.291098262532550223e+00
1.510755377688844270e+00,7.288695280181671343e+00
1.520760380190095074e+00,7.286254730006104019e+00
1.530765382691345655e+00,7.283778497830248000e+00
1.540770385192596237e+00,7.281268432530813683e+00
1.550775387693846818e+00,7.278726345518961693e+00
1.560780390195097400e+00,7.276154011561903445e+00
1.570785392696348204e+00,7.273553168950818382e+00
1.580790395197598786e+00,7.270925520542310672e+00
1.590795397698849367e+00,7.268272732971785111e+00
1.600800400200099949e+00,7.265596437099243410e+00
1.610805402701350530e+00,7.262898228583983595e+00
1.620810405202601334e+00,7.260179667738692721e+00
1.630815407703851916e+00,7.257442279943034258e+00
1.640820410205102498e+00,7.254687556186070196e+00
1.650825412706353079e+00,7.251916952948165296e+00
1.660830415207603661e+00,7.249131892709096192e+00
1.670835417708854465e+00,7.246333764485306972e+00
1.680840420210105046e+00,7.243523923762886341e+00
1.690845422711355628e+00,7.240703693088775594e+00
1.700850425212606210e+00,7.237874362543319506e+00
1.710855427713856791e+00,7.235037189673909630e+00
1.720860430215107595e+00,7.232193399994351068e+00
1.730865432716358177e+00,7.229344187412254819e+00
1.740870435217608758e+00,7.226490714985716046e+00
1.750875437718859340e+00,7.223634114967796727e+00
1.760880440220109922e+00,7.220775489349983367e+00
1.770885442721360725e+00,7.217915910372121324e+00
1.780890445222611307e+00,7.215056420190331998e+00
1.790895447723861889e+00,7.212198031703966450e+00
1.800900450225112470e+00,7.209341729372074958e+00
1.810905452726363052e+00,7.206488469432049015e+00
1.820910455227613856e+00,7.203639180187479951e+00
1.830915457728864437e+00,7.200794762192087362e+00
1.840920460230115019e+00,7.197956089159342596e+00
1.850925462731365601e+00,7.195124008241839064e+00
1.860930465232616182e+00,7.192299340459983981e+00
1.870935467733866986e+00,7.189482880993301350e+00
1.880940470235117568e+00,7.186675399785187324e+00
1.890945472736368149e+00,7.183877641983810847e+00
1.900950475237618731e+00,7.181090328378145315e+00
1.910955477738869313e+00,7.178314155716424949e+00
1.920960480240120116e+00,7.175549797178323530e+00
1.930965482741370698e+00,7.172797902933844227e+00
1.940970485242621280e+00,7.170059100537897301e+00
1.950975487743871861e+00,7.167333995346931275e+00
1.960980490245122443e+00,7.164623170874767411e+00
1.970985492746373025e+00,7.161927189370127067e+00
1.980990495247623828e+00,7.159246592221658823e+00
1.990995497748874410e+00,7.156581900385008410e+00
2.001000500250125214e+00,7.153933614617994152e+00
2.011005502751375573e+00,7.151302216154400426e+00
2.021010505252626377e+00,7.148688167141870942e+00
2.031015507753876737e+00,7.146091911039823330e+00
2.041020510255127540e+00,7.143513873063445985e+00
2.051025512756378344e+00,7.140954460628835321e+00
2.061030515257628704e+00,7.138414063408271559e+00
2.071035517758879507e+00,7.135893053611134462e+00
2.081040520260129867e+00,7.133391787154807595e+00
2.091045522761380671e+00,7.130910603726858810e+00
2.101050525262631474e+00,7.128449827198375388e+00
2.111055527763881834e+00,7.126009766040256821e+00
2.121060530265132638e+00,7.123590713658970230e+00
2.131065532766382997e+00,7.121192948222216934e+00
2.141070535267633801e+00,7.118816733806296426e+00
2.151075537768884161e+00,7.116462320652120255e+00
2.161080540270134964e+00,7.114129945461046489e+00
2.171085542771385768e+00,7.111819831777452805e+00
2.181090545272636128e+00,7.109532190369105109e+00
2.191095547773886931e+00,7.107267219249497003e+00
2.201100550275137291e+00,7.105025104123328106e+00
2.211105552776388095e+00,7.102806019125433856e+00
2.221110555277638898e+00,7.100610126953499801e+00
