# M,optimal
0.000000000000000000e+00,-1.028673305393264915e-32
1.000500250125062503e-02,2.357723601990644596e-02
2.001000500250125005e-02,4.678994559820386090e-02
3.001500750375187682e-02,6.963414481151534996e-02
4.002001000500250011e-02,9.210605169656604918e-02
5.002501250625312340e-02,1.142020894732131281e-01
6.003001500750375363e-02,1.359188895054179724e-01
7.003501750875437692e-02,1.572532939956939046e-01
8.004002001000500022e-02,1.782023584090969004e-01
9.004502251125562351e-02,1.987633536233690545e-01
1.000500250125062468e-01,2.189337678023942080e-01
1.100550275137568701e-01,2.387113079906790780e-01
1.200600300150075073e-01,2.580939014271327880e-01
1.300650325162581167e-01,2.770796965769768971e-01
1.400700350175087538e-01,2.956670638811819685e-01
1.500750375187593633e-01,3.138545962233849074e-01
1.600800400200100004e-01,3.316411091148022128e-01
1.700850425212606376e-01,3.490256405982082866e-01
1.800900450225112470e-01,3.660074508725978393e-01
1.900950475237618842e-01,3.825860216406948844e-01
2.001000500250124936e-01,3.987610551820048310e-01
2.101050525262631308e-01,4.145324731546342067e-01
2.201100550275137402e-01,4.299004151296137999e-01
2.301150575287643774e-01,4.448652368619677167e-01
2.401200600300150145e-01,4.594275083032559048e-01
2.501250625312656517e-01,4.735880113607959796e-01
2.601300650325162334e-01,4.873477374092266001e-01
2.701350675337668705e-01,5.007078845605179573e-01
2.801400700350175077e-01,5.136698546989569847e-01
2.901450725362681449e-01,5.262352502880423000e-01
3.001500750375187265e-01,5.384058709566084122e-01
3.101550775387693637e-01,5.501837098718604935e-01
3.201600800400200009e-01,5.615709499073479050e-01
3.301650825412706380e-01,5.725699596142227454e-01
3.401700850425212752e-01,5.831832890044291728e-01
3.501750875437718569e-01,5.934136651547411434e-01
3.601800900450224940e-01,6.032639876408211199e-01
3.701850925462731312e-01,6.127373238106942344e-01
3.801900950475237684e-01,6.218369039072372262e-01
3.901950975487743500e-01,6.305661160494567818e-01
4.002001000500249872e-01,6.389285010824858890e-01
4.102051025512756244e-01,6.469277473063503869e-01
4.202101050525262615e-01,6.545676850936630320e-01
4.302151075537768987e-01,6.618522814064780047e-01
4.402201100550274804e-01,6.687856342225897421e-01
4.502251125562781175e-01,6.753719668815889587e-01
4.602301150575287547e-01,6.816156223609894926e-01
4.702351175587793919e-01,6.875210574927224094e-01
4.802401200600300291e-01,6.930928371302432778e-01
4.902451225612806107e-01,6.983356282764364709e-01
5.002501250625313034e-01,7.032541941824064224e-01
5.102551275637818851e-01,7.078533884271348553e-01
5.202601300650324667e-01,7.121381489878495508e-01
5.302651325662831594e-01,7.161134923107960182e-01
5.402701350675337411e-01,7.197845073919281189e-01
5.502751375687843227e-01,7.231563498768452947e-01
5.602801400700350154e-01,7.262342361890872233e-01
5.702851425712855971e-01,7.290234376956729045e-01
5.802901450725362897e-01,7.315292749185272614e-01
5.902951475737868714e-01,7.337571118001737780e-01
6.003001500750374531e-01,7.357123500318052400e-01
6.103051525762881457e-01,7.374004234515509904e-01
