# M,optimal
0.000000000000000000e+00,6.793846003116344119e-34
1.000500250125062503e-02,1.699285525225000537e-01
2.001000500250125005e-02,3.380268882714461687e-01
3.001500750375187682e-02,5.042675311243454139e-01
4.002001000500250011e-02,6.686240173256416952e-01
5.002501250625312340e-02,8.310709381378924565e-01
6.003001500750375363e-02,9.915839423013110832e-01
7.003501750875437692e-02,1.150139770797903527e+00
8.004002001000500022e-02,1.306716276398673715e+00
9.004502251125562351e-02,1.461292423832080578e+00
1.000500250125062468e-01,1.613848312352206271e+00
1.100550275137568701e-01,1.764365207364185562e+00
1.200600300150075073e-01,1.912825554967836128e+00
1.300650325162581167e-01,2.059212977685677348e+00
1.400700350175087538e-01,2.203512259831744036e+00
1.500750375187593633e-01,2.345709405733018116e+00
1.600800400200100004e-01,2.485791615245758202e+00
1.700850425212606376e-01,2.623747293584087537e+00
1.800900450225112470e-01,2.759566070257100989e+00
1.900950475237618842e-01,2.893238777571241815e+00
2.001000500250124936e-01,3.024757467416548273e+00
2.101050525262631308e-01,3.154115413206746599e+00
2.201100550275137402e-01,3.281307087160866942e+00
2.301150575287643774e-01,3.406328178001322371e+00
2.401200600300150145e-01,3.529175579739786350e+00
2.501250625312656517e-01,3.649847370163476601e+00
2.601300650325162334e-01,3.768342824433954963e+00
2.701350675337668705e-01,3.884662398314607579e+00
2.801400700350175077e-01,3.998807708209520584e+00
2.901450725362681449e-01,4.110781521884605993e+00
3.001500750375187265e-01,4.220587740345392191e+00
3.101550775387693637e-01,4.328231399548323033e+00
3.201600800400200009e-01,4.433718647171785321e+00
3.301650825412706380e-01,4.537056714245784939e+00
3.401700850425212752e-01,4.638253904029109087e+00
3.501750875437718569e-01,4.737319577006572580e+00
3.601800900450224940e-01,4.834264121236673262e+00
3.701850925462731312e-01,4.929098933094226531e+00
3.801900950475237684e-01,5.021836396988165419e+00
3.901950975487743500e-01,5.112489858276849652e+00
4.002001000500249872e-01,5.201073598338215476e+00
4.102051025512756244e-01,5.287602811593593799e+00
4.202101050525262615e-01,5.372093577583541446e+00
4.302151075537768987e-01,5.454562832174040921e+00
4.402201100550274804e-01,5.535028341500250804e+00
4.502251125562781175e-01,5.613508674912940144e+00
4.602301150575287547e-01,5.690023172280001873e+00
4.702351175587793919e-01,5.764591915873772621e+00
4.802401200600300291e-01,5.837235704447198970e+00
4.902451225612806107e-01,5.907976016547703324e+00
5.002501250625313034e-01,5.976834979949600779e+00
5.102551275637818851e-01,6.043835341054925259e+00
5.202601300650324667e-01,6.109000444253729789e+00
5.302651325662831594e-01,6.172354188553914156e+00
5.402701350675337411e-01,6.233920996123722524e+00
5.502751375687843227e-01,6.293725781400042685e+00
5.602801400700350154e-01,6.351793929255289406e+00
5.702851425712855971e-01,6.408151254368162242e+00
5.802901450725362897e-01,6.462823967619171661e+00
