# M,optimal
0.000000000000000000e+00,6.793846003116344119e-34
5.002501250625312514e-03,1.649260512718747351e-01
1.000500250125062503e-02,3.280218857701955315e-01
1.500750375187593841e-02,4.892600273724694859e-01
2.001000500250125005e-02,6.486140123231405319e-01
2.501250625312656170e-02,8.060584318847658913e-01
3.001500750375187682e-02,9.615689347975593382e-01
3.501750875437718846e-02,1.115122262043526380e+00
4.002001000500250011e-02,1.266696266393671166e+00
4.502251125562781175e-02,1.416269912576452628e+00
5.002501250625312340e-02,1.563823299845953141e+00
5.502751375687843505e-02,1.709337693607307251e+00
6.003001500750375363e-02,1.852795539960332416e+00
6.503251625812905834e-02,1.994180461427548234e+00
7.003501750875437692e-02,2.133477242322989742e+00
7.503751875937968163e-02,2.270671886973638198e+00
8.004002001000500022e-02,2.405751595235753104e+00
8.504252126063031880e-02,2.538704772323456815e+00
9.004502251125562351e-02,2.669521047745845088e+00
9.504752376188094209e-02,2.798191253809361179e+00
1.000500250125062468e-01,2.924707442404042013e+00
1.050525262631315654e-01,3.049062886943614714e+00
1.100550275137568701e-01,3.171252059647110322e+00
1.150575287643821887e-01,3.291270649236939683e+00
1.200600300150075073e-01,3.409115549724778926e+00
1.250625312656328258e-01,3.524784838897843553e+00
1.300650325162581167e-01,3.638277791917697179e+00
1.350675337668834353e-01,3.749594864547724171e+00
1.400700350175087538e-01,3.858737673192011108e+00
1.450725362681340724e-01,3.965708985616471338e+00
1.500750375187593633e-01,4.070512702826632356e+00
1.550775387693846818e-01,4.173153860778938018e+00
1.600800400200100004e-01,4.273638607151775126e+00
1.650825412706353190e-01,4.371974172975149564e+00
1.700850425212606376e-01,4.468168861507848533e+00
1.750875437718859284e-01,4.562232033234686845e+00
1.800900450225112470e-01,4.654174076214161460e+00
1.850925462731365656e-01,4.744006386821090437e+00
1.900950475237618842e-01,4.831741349464404145e+00
1.950975487743871750e-01,4.917392309502462311e+00
2.001000500250124936e-01,5.000973548313202954e+00
2.051025512756378122e-01,5.082500260317955210e+00
2.101050525262631308e-01,5.161988525057276789e+00
2.151075537768884494e-01,5.239455278397151972e+00
2.201100550275137402e-01,5.314918286472737563e+00
2.251125562781390588e-01,5.388396118634801724e+00
2.301150575287643774e-01,5.459908114751237385e+00
2.351175587793896959e-01,5.529474357094382952e+00
2.401200600300150145e-01,5.597115644417184122e+00
2.451225612806403054e-01,5.662853455267063296e+00
2.501250625312656517e-01,5.726709917418334683e+00
2.551275637818909425e-01,5.788707777273034871e+00
2.601300650325162334e-01,5.848870379221214222e+00
2.651325662831415797e-01,5.907221622270773409e+00
2.701350675337668705e-01,5.963785928589955709e+00
2.751375687843921614e-01,6.018588212615650690e+00
2.801400700350175077e-01,6.071653859220271343e+00
2.851425712856427985e-01,6.123008683082519887e+00
2.901450725362681449e-01,6.172678895082904127e+00
2.951475737868934357e-01,6.220691071759238078e+00
3.001500750375187265e-01,6.267072133130765721e+00
3.051525762881440729e-01,6.311849305781751518e+00
3.101550775387693637e-01,6.355050087559591887e+00
3.151575787893947100e-01,6.396702218614003677e+00
3.201600800400200009e-01,6.436833658386719392e+00
3.251625812906452917e-01,6.475472554024417349e+00
3.301650825412706380e-01,6.512647204162015591e+00
3.351675837918959289e-01,6.548386032272432544e+00
3.401700850425212752e-01,6.582717563091755153e+00
3.451725862931465660e-01,6.615670396910751982e+00
3.501750875437718569e-01,6.647273173440750860e+00
3.551775887943972032e-01,6.677554547935399043e+00
3.601800900450224940e-01,6.706543167944737149e+00
3.651825912956478404e-01,6.734267652464251519e+00
3.701850925462731312e-01,6.760756558058896637e+00
3.751875937968984220e-01,6.786038357484486028e+00
3.801900950475237684e-01,6.810141417906980799e+00
3.851925962981490592e-01,6.833093983647446024e+00
3.901950975487743500e-01,6.854924146421005560e+00
3.951975987993996964e-01,6.875659826226744542e+00
4.002001000500249872e-01,6.895328751921518062e+00
4.052026013006503335e-01,6.913958446576128125e+00
4.102051025512756244e-01,6.931576202971980294e+00
4.152076038019009152e-01,6.948209066749583052e+00
4.202101050525262615e-01,6.963883819837294986e+00
4.252126063031515524e-01,6.978626967377849155e+00
4.302151075537768987e-01,6.992464720136412737e+00
4.352176088044021895e-01,7.005422980164322411e+00
4.402201100550274804e-01,7.017527326862365911e+00
4.452226113056528267e-01,7.028803003989747111e+00
4.502251125562781175e-01,7.039274908073349657e+00
4.552276138069034639e-01,7.048967577189169553e+00
4.602301150575287547e-01,7.057905181844184916e+00
4.652326163081540455e-01,7.066111514041812036e+00
4.702351175587793919e-01,7.073609978909171758e+00
4.752376188094046827e-01,7.080423586093791855e+00
4.802401200600300291e-01,7.086574942889227735e+00
4.852426213106553199e-01,7.092086247891922213e+00
4.902451225612806107e-01,7.096979284862272586e+00
4.952476238119059571e-01,7.101275417431256010e+00
5.002501250625313034e-01,7.104995585239026745e+00
5.052526263131565942e-01,7.108160300048874447e+00
5.102551275637818851e-01,7.110789642051105197e+00
5.152576288144071759e-01,7.112903258246060290e+00
5.202601300650324667e-01,7.114520360725629544e+00
5.252626313156578686e-01,7.115659724487144899e+00
5.302651325662831594e-01,7.116339687210463616e+00
5.352676338169084502e-01,7.116578149940969489e+00
5.402701350675337411e-01,7.116392577027665922e+00
5.452726363181590319e-01,7.115799996291828577e+00
5.502751375687843227e-01,7.114817002037878702e+00
5.552776388194097246e-01,7.113459756760904362e+00
5.602801400700350154e-01,7.111743992209070164e+00
5.652826413206603062e-01,7.109685013563463940e+00
5.702851425712855971e-01,7.107297703046707049e+00
5.752876438219108879e-01,7.104596522551988258e+00
5.802901450725362897e-01,7.101595517600489238e+00
5.852926463231615806e-01,7.098308323092951788e+00
5.902951475737868714e-01,7.094748167385782622e+00
5.952976488244121622e-01,7.090927875829988736e+00
6.003001500750374531e-01,7.086859878512055566e+00
6.053026513256628549e-01,7.082556215690502199e+00
6.103051525762881457e-01,7.078028542708461934e+00
6.153076538269134366e-01,7.073288133797880128e+00
6.203101550775387274e-01,7.068345892350231807e+00
