S V(S) theta
3.069922004542932625e-01 2.192624112039531781e+00 2.000000000000000111e-01
3.103570432250761790e-01 2.167884228278075476e+00 2.000000000000000111e-01
3.137203763033319381e-01 2.143675510184402278e+00 2.000000000000000111e-01
3.170821843951086572e-01 2.119980835828075172e+00 2.000000000000000111e-01
3.204424522064897585e-01 2.096783812059701990e+00 2.000000000000000111e-01
3.238011644435587200e-01 2.074068736142170355e+00 2.000000000000000111e-01
3.271583058123990195e-01 2.051820559780432873e+00 2.000000000000000111e-01
3.305138610190943016e-01 2.030024855376950210e+00 2.000000000000000111e-01
3.338678147697278220e-01 2.008667784353780128e+00 2.000000000000000111e-01
3.372201517703831697e-01 1.987736067395118544e+00 2.000000000000000111e-01
3.405708567271438225e-01 1.967216956475849932e+00 2.000000000000000111e-01
3.439199143902916811e-01 1.947098208611865999e+00 2.000000000000000111e-01
3.472673097719582436e-01 1.927368060891915702e+00 2.000000000000000111e-01
3.506130279764855251e-01 1.908015207212299558e+00 2.000000000000000111e-01
3.539570541082590061e-01 1.889028776488306027e+00 2.000000000000000111e-01
3.572993732716641113e-01 1.870398311929659441e+00 2.000000000000000111e-01
3.606399705710864323e-01 1.852113751489333549e+00 2.000000000000000111e-01
3.639788311109112828e-01 1.834165409409203917e+00 2.000000000000000111e-01
3.673159399955243098e-01 1.816543958791416502e+00 2.000000000000000111e-01
3.706512823293109937e-01 1.799240415129569115e+00 2.000000000000000111e-01
3.739848432166565928e-01 1.782246120738603112e+00 2.000000000000000111e-01
3.773166078106812149e-01 1.765552730065259590e+00 2.000000000000000111e-01
3.806465615478885622e-01 1.749152195537361454e+00 2.000000000000000111e-01
3.839746899638142863e-01 1.733036754443752381e+00 2.000000000000000111e-01
3.873009785940460525e-01 1.717198916602604042e+00 2.000000000000000111e-01
3.906254129741718040e-01 1.701631452504792197e+00 2.000000000000000111e-01
3.939479786397794281e-01 1.686327382070675229e+00 2.000000000000000111e-01
3.972686611264567569e-01 1.671279963983835604e+00 2.000000000000000111e-01
4.005874459697915113e-01 1.656482685567524982e+00 2.000000000000000111e-01
4.039043187053717454e-01 1.641929253171878100e+00 2.000000000000000111e-01
4.072192648687852357e-01 1.627613583042075929e+00 2.000000000000000111e-01
4.105322700485263820e-01 1.613529792661573259e+00 2.000000000000000111e-01
4.138433201367601177e-01 1.599672192281342831e+00 2.000000000000000111e-01
4.171524011312533475e-01 1.586035277170913416e+00 2.000000000000000111e-01
4.204594990298351487e-01 1.572613720312840080e+00 2.000000000000000111e-01
4.237645998303343209e-01 1.559402365288054648e+00 2.000000000000000111e-01
4.270676895305799969e-01 1.546396219500033364e+00 2.000000000000000111e-01
4.303687541284008655e-01 1.533590447719375804e+00 2.000000000000000111e-01
4.336677796216258374e-01 1.520980365931253520e+00 2.000000000000000111e-01
4.369647520080839342e-01 1.508561435469285783e+00 2.000000000000000111e-01
4.402596572856041779e-01 1.496329257420401015e+00 2.000000000000000111e-01
4.435524815087230621e-01 1.484279567294729762e+00 2.000000000000000111e-01
4.468432110546086689e-01 1.472408229702330651e+00 2.000000000000000111e-01
4.501318324123186332e-01 1.460711233606315274e+00 2.000000000000000111e-01
4.534183320709821996e-01 1.449184687833062979e+00 2.000000000000000111e-01
4.567026965197286681e-01 1.437824816627791158e+00 2.000000000000000111e-01
4.599849122476876162e-01 1.426627955406148951e+00 2.000000000000000111e-01
4.632649657439883439e-01 1.415590546692102381e+00 2.000000000000000111e-01
4.665428434977602623e-01 1.404709136232646038e+00 2.000000000000000111e-01
4.698185319981327268e-01 1.393980369280432452e+00 2.000000000000000111e-01
4.730920177342350930e-01 1.383400987035906304e+00 2.000000000000000111e-01
4.763632872553300590e-01 1.372967823238519847e+00 2.000000000000000111e-01
4.796323274508778600e-01 1.362677800667998040e+00 2.000000000000000111e-01
4.828991253282004514e-01 1.352527928154679149e+00 2.000000000000000111e-01
4.861636678947023893e-01 1.342515297739155011e+00 2.000000000000000111e-01
4.894259421577884517e-01 1.332637081798758949e+00 2.000000000000000111e-01
4.926859351248630281e-01 1.322890530292025746e+00 2.000000000000000111e-01
4.959436338033307856e-01 1.313272968115802186e+00 2.000000000000000111e-01
4.991990252005963913e-01 1.303781792569675524e+00 2.000000000000000111e-01
5.024520963240642901e-01 1.294414470922670368e+00 2.000000000000000111e-01
5.057028341811393712e-01 1.285168538077425593e+00 2.000000000000000111e-01
5.089512258424063740e-01 1.276041594315640015e+00 2.000000000000000111e-01
5.121972587347594086e-01 1.267031302898013356e+00 2.000000000000000111e-01
5.154409204085818041e-01 1.258135388144988820e+00 2.000000000000000111e-01
5.186821984143511477e-01 1.249351633600422895e+00 2.000000000000000111e-01
5.219210803025443601e-01 1.240677880117648790e+00 2.000000000000000111e-01
5.251575536236388064e-01 1.232112024018980678e+00 2.000000000000000111e-01
5.283916059281117406e-01 1.223652015325706444e+00 2.000000000000000111e-01
5.316232247664404165e-01 1.215295856055433665e+00 2.000000000000000111e-01
5.348523976891021992e-01 1.207041598583816322e+00 2.000000000000000111e-01
5.380791122465743426e-01 1.198887344067843586e+00 2.000000000000000111e-01
5.413033560551835377e-01 1.190831240908559074e+00 2.000000000000000111e-01
5.445251171021699976e-01 1.182871483034369620e+00 2.000000000000000111e-01
5.477443835035188391e-01 1.175006308656975529e+00 2.000000000000000111e-01
5.509611433753209830e-01 1.167233999067007755e+00 2.000000000000000111e-01
5.541753848336666843e-01 1.159552877325661147e+00 2.000000000000000111e-01
5.573870959946470860e-01 1.151961307003408042e+00 2.000000000000000111e-01
5.605962649743526649e-01 1.144457690964151952e+00 2.000000000000000111e-01
5.638028798888740090e-01 1.137040470192913322e+00 2.000000000000000111e-01
5.670069288543019281e-01 1.129708122665245007e+00 2.000000000000000111e-01
5.702083999867268993e-01 1.122459162256655096e+00 2.000000000000000111e-01
5.734072814703818910e-01 1.115292137664366079e+00 2.000000000000000111e-01
5.766035618734695056e-01 1.108205631127601176e+00 2.000000000000000111e-01
5.797972298977940309e-01 1.101198257622766796e+00 2.000000000000000111e-01
5.829882742452779931e-01 1.094268664068783758e+00 2.000000000000000111e-01
5.861766836178433637e-01 1.087415528411961541e+00 2.000000000000000111e-01
5.893624467174124471e-01 1.080637558741829318e+00 2.000000000000000111e-01
5.925455522459072144e-01 1.073933492437038284e+00 2.000000000000000111e-01
5.957259889052499702e-01 1.067302095340146195e+00 2.000000000000000111e-01
5.989037453973625746e-01 1.060742160960152614e+00 2.000000000000000111e-01
6.020788104241675542e-01 1.054252509701700147e+00 2.000000000000000111e-01
6.052511727576493916e-01 1.047831988088284705e+00 2.000000000000000111e-01
6.084208215652376905e-01 1.041479467768674727e+00 2.000000000000000111e-01
6.115877461523998582e-01 1.035193845005830893e+00 2.000000000000000111e-01
6.147519358247325316e-01 1.028974040154915226e+00 2.000000000000000111e-01
6.179133798878327921e-01 1.022818997010052300e+00 2.000000000000000111e-01
6.210720676472971657e-01 1.016727682171897351e+00 2.000000000000000111e-01
6.242279884087225117e-01 1.010699084435578321e+00 2.000000000000000111e-01
6.273811314777053560e-01 1.004732214198246210e+00 2.000000000000000111e-01
6.305314861598431131e-01 9.988261028855101031e-01 2.000000000000000111e-01
6.336790417607320869e-01 9.929798023960575426e-01 2.000000000000000111e-01
6.368237876575860712e-01 9.871923845273806730e-01 2.000000000000000111e-01
6.399657136329355289e-01 9.814629401734290548e-01 2.000000000000000111e-01
6.431048096113396451e-01 9.757905790148612146e-01 2.000000000000000111e-01
6.462410655174997132e-01 9.701744291828712230e-01 2.000000000000000111e-01
6.493744712761172488e-01 9.646136367843272108e-01 2.000000000000000111e-01
6.525050168118934346e-01 9.591073654411578220e-01 2.000000000000000111e-01
6.556326920495297861e-01 9.536547958438302830e-01 2.000000000000000111e-01
6.587574869137274858e-01 9.482551253184279272e-01 2.000000000000000111e-01
6.618793913291881603e-01 9.429075674068403412e-01 2.000000000000000111e-01
6.649983952206128812e-01 9.376113514596112752e-01 2.000000000000000111e-01
6.681144885855164750e-01 9.323657222005183876e-01 2.000000000000000111e-01
6.712276618349840573e-01 9.271699390543229891e-01 2.000000000000000111e-01
6.743379055256593091e-01 9.220232759780762066e-01 2.000000000000000111e-01
6.774452102143400101e-01 9.169250212543182954e-01 2.000000000000000111e-01
6.805495664578243842e-01 9.118744771401862126e-01 2.000000000000000111e-01
6.836509648129103223e-01 9.068709595264251577e-01 2.000000000000000111e-01
6.867493958363957152e-01 9.019137976063408280e-01 2.000000000000000111e-01
6.898448500850788978e-01 8.970023335543544363e-01 2.000000000000000111e-01
6.929373181157576500e-01 8.921359222138417477e-01 2.000000000000000111e-01
6.960267904852299736e-01 8.873139307939386100e-01 2.000000000000000111e-01
6.991132578239555029e-01 8.825357385310884650e-01 2.000000000000000111e-01
7.021967111825963004e-01 8.778007361066938463e-01 2.000000000000000111e-01
7.052771417604239979e-01 8.731083255791868281e-01 2.000000000000000111e-01
7.083545407568765384e-01 8.684579202690706490e-01 2.000000000000000111e-01
7.114288993713918652e-01 8.638489444957601071e-01 2.000000000000000111e-01
7.145002088034084764e-01 8.592808333213948213e-01 2.000000000000000111e-01
7.175684602523642042e-01 8.547530323017833442e-01 2.000000000000000111e-01
7.206336449176974357e-01 8.502649972442481996e-01 2.000000000000000111e-01
7.236957539988461141e-01 8.458161939721520195e-01 2.000000000000000111e-01
7.267547786952487376e-01 8.414060980958864011e-01 2.000000000000000111e-01
7.298107102805158064e-01 8.370341947432853313e-01 2.000000000000000111e-01
7.328635404534773468e-01 8.326999780402863927e-01 2.000000000000000111e-01
7.359132610641297978e-01 8.284029511162135373e-01 2.000000000000000111e-01
7.389598639626488996e-01 8.241426260551758531e-01 2.000000000000000111e-01
7.420033409992108364e-01 8.199185236960290224e-01 2.000000000000000111e-01
7.450436840239913483e-01 8.157301734372894852e-01 2.000000000000000111e-01
7.480808848871662864e-01 8.115771130472471118e-01 2.000000000000000111e-01
7.511149354389116128e-01 8.074588884791116250e-01 2.000000000000000111e-01
7.541458275294031788e-01 8.033750536910434503e-01 2.000000000000000111e-01
7.571735530088169464e-01 7.993251704709158911e-01 2.000000000000000111e-01
7.601981038016890624e-01 7.953088082164035955e-01 2.000000000000000111e-01
7.632194722611873594e-01 7.913255434604182792e-01 2.000000000000000111e-01
7.662376508937022157e-01 7.873749599303370150e-01 2.000000000000000111e-01
7.692526322058146349e-01 7.834566485481158082e-01 2.000000000000000111e-01
7.722644087041063976e-01 7.795702072763518453e-01 2.000000000000000111e-01
7.752729728951583965e-01 7.757152409678828020e-01 2.000000000000000111e-01
7.782783172855525233e-01 7.718913612192236373e-01 2.000000000000000111e-01
7.812804343818695596e-01 7.680981862277393990e-01 2.000000000000000111e-01
7.842793166906913971e-01 7.643353406524310278e-01 2.000000000000000111e-01
7.872749567185990394e-01 7.606024554782353508e-01 2.000000000000000111e-01
7.902673470464124383e-01 7.568991678324895611e-01 2.000000000000000111e-01
7.932564806854155437e-01 7.532251205426289120e-01 2.000000000000000111e-01
7.962423508016592821e-01 7.495799622356095204e-01 2.000000000000000111e-01
7.992249505613974181e-01 7.459633473742942611e-01 2.000000000000000111e-01
8.022042731308833829e-01 7.423749361376531519e-01 2.000000000000000111e-01
8.051803116763707191e-01 7.388143943034832795e-01 2.000000000000000111e-01
8.081530593641130800e-01 7.352813931340097531e-01 2.000000000000000111e-01
8.111225093603638969e-01 7.317756092642853094e-01 2.000000000000000111e-01
8.140886548313770454e-01 7.282967245933033018e-01 2.000000000000000111e-01
8.170514889434058459e-01 7.248444261777564623e-01 2.000000000000000111e-01
8.200110049365257892e-01 7.214184060755252093e-01 2.000000000000000111e-01
8.229671964815614693e-01 7.180183609269913392e-01 2.000000000000000111e-01
8.259200574051318577e-01 7.146439920846395788e-01 2.000000000000000111e-01
8.288695815340698658e-01 7.112950056767867180e-01 2.000000000000000111e-01
8.318157626952080719e-01 7.079711125133762994e-01 2.000000000000000111e-01
8.347585947153793873e-01 7.046720279935653197e-01 2.000000000000000111e-01
8.376980714214166124e-01 7.013974720154928510e-01 2.000000000000000111e-01
8.406341866401526586e-01 6.981471688881741855e-01 2.000000000000000111e-01
8.435669341984201042e-01 6.949208472454599939e-01 2.000000000000000111e-01
8.464963079230518606e-01 6.917182399620038780e-01 2.000000000000000111e-01
8.494223017140087872e-01 6.885390840171272675e-01 2.000000000000000111e-01
8.523449099007744945e-01 6.853831200937543500e-01 2.000000000000000111e-01
8.552641269691373394e-01 6.822500927307485474e-01 2.000000000000000111e-01
8.581799474051098331e-01 6.791397504074612179e-01 2.000000000000000111e-01
